case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
random-256-misses,scan,3,contract,0,0,native,1,ab7db71c23111cc09a203bb0d50563dd7f3d1c8f42eff4179e3ea25a5562f865,117a6c87ab45d93bb7bba7b5bcc4f1293f4cb5d0292f2d901d982ce30fc9cd51
random-256-churn,hash,0,contract,0,0,native,0,193874093bc1dfe608238c3bf9fbc89a967a1319ed41c0c4c6e27104fb4722d0,69a8590df663ad61c082e5944787efc5519945e2e71a2ec555d05ba26d9209a4
random-256-churn,hash,1,contract,0,0,native,0,8eb0d1e9126506b40c329d1455cbb4f1e37f3b57cd8f23b804994734c9cb6c51,4ce732718a8a5b71a10b07fdf724ca889e3793e7de8d31136287850a70621243
random-256-churn,hash,3,contract,0,0,native,0,c27af956df5e77f4f4b182d8e0a904fa6d40ca2e41b4cd3ea02f1fbe8db16314,f4c5f37fd7c9b1a06ca740158aa235dda732a20948a6b9dd9d91b384eb0dacce
random-256-churn,scan,0,contract,0,0,native,0,193874093bc1dfe608238c3bf9fbc89a967a1319ed41c0c4c6e27104fb4722d0,37a94837d24b83b45619fb5f2db064741da3ff6eff4a989565b965ec9aedf4d8
random-256-churn,scan,1,contract,0,0,native,1,8eb0d1e9126506b40c329d1455cbb4f1e37f3b57cd8f23b804994734c9cb6c51,cf109e6d71a3e6000ac2d8cb237690441f26ed56f554f64ca55fea8e1895e4a8
random-256-churn,scan,3,contract,0,0,native,0,c27af956df5e77f4f4b182d8e0a904fa6d40ca2e41b4cd3ea02f1fbe8db16314,fc24c3e4711504344b4cb84ab77a224093412b696f474d8c1c3a5159aa68a98d
high-half-64-hits,hash,0,contract,0,0,native,0,3b02e635229bf7a1e6c718afb9bf2327939f5f71f1097247e1bf6b9126c4fa6a,71c8ea531bd05fe5962ca7e5bf8bae4b79411292f554688dd189b57cc76577fd
high-half-64-hits,hash,1,contract,0,0,native,0,d35d6134d622788a8029dc2572c1cccafb29352339c805e4627f63829eea369d,8dc9f24ad9431b31593f8a8f1261ccddf0f037350048ab05ac791d790fd69783
high-half-64-hits,hash,3,contract,0,0,native,0,b46a05083d4085d081b6edce556117d5707304ab2695906d015ac05b7f73e560,5733e60591616ae7fd2dfb4374f74d386548e0d8b594a05904a21ca82528bb0b
high-half-64-hits,scan,0,contract,0,0,native,0,3b02e635229bf7a1e6c718afb9bf2327939f5f71f1097247e1bf6b9126c4fa6a,31bff49be6acd9b431eb2110d771b3d602a2f18909ca5ff1dd9f2507ccf872f6
high-half-64-hits,scan,1,contract,0,0,native,0,d35d6134d622788a8029dc2572c1cccafb29352339c805e4627f63829eea369d,e42d79a6b993f7cd99c4b64ae34ebfec3e24cd6c1445151ed957926e30bb5c69
high-half-64-hits,scan,3,contract,0,0,native,0,b46a05083d4085d081b6edce556117d5707304ab2695906d015ac05b7f73e560,a0446a5b2545796567c400c9bd2abdc1a1c1095a2a04ba93edb059f4b70b3c73
high-half-64-misses,hash,0,contract,0,0,native,0,2d2ec9a5061b070760f6e9825037712d5e3bb4546becbd8bd75e681387998b53,71c8ea531bd05fe5962ca7e5bf8bae4b79411292f554688dd189b57cc76577fd
high-half-64-misses,hash,1,contract,0,0,native,0,875d2eda9592b656e345f9d8f2730b8a9115521f778936a2dd70fa89d0cd1118,1b78334cd6f2c14437b4b780f4e572a5cbf11437c6e4ab59aa779f52fdec8394
high-half-64-misses,hash,3,contract,0,0,native,0,4aa94d871b905f2aad6558f3d4a0452aa72127a332fd6b40884b37ea322f5889,9c7183bcd536fdc38595a07e24c3eb9a82a1f72ad6996bdd2f4642d4781f78d1
high-half-64-misses,scan,0,contract,0,0,native,0,2d2ec9a5061b070760f6e9825037712d5e3bb4546becbd8bd75e681387998b53,31bff49be6acd9b431eb2110d771b3d602a2f18909ca5ff1dd9f2507ccf872f6
