roots,simulations,capacity,physical_capacity,sample,order,peak_rss_kib,process_seconds,coordinator_seconds,stdout_sha256,work_sha256
1,64,4097,8192,3,3,14704,0.036614306,0.006,e3c4fd71e16a4f3536eca8229c4e69039a0d281317df6c3df387716312b34e98,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,8192,8192,3,4,14632,0.035353008,0.005,5795138e9225a9276431fb09e9e6ce7b13135f18adf5f04f67f0fff1e0573298,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,65536,65536,4,0,18664,0.036595,0.006,36f63c163843d22211a3b35fb5fc82bc8eaea9ff675331cc55e368c503d336bf,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,4096,4096,4,1,12668,0.035829039,0.006,69f485b9e042620d64a8448e80ce550015c101f447711e6ed85d28cbd9c41d9f,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,4097,8192,4,2,14680,0.045111698,0.006,ba24412821e9f787ad4befba12a1db4a78f250d39b203fb0d00adc12b7aedf54,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,8192,8192,4,3,14608,0.03534285,0.005,8a4e9d51d556be6571e568869c5929d71e58f57edd8485a65d1a7f545d70bfdd,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,16384,16384,4,4,12440,0.035474009,0.005,21e3cf20eb4a6570d022469dd7cde3ad96cc557501736db39da5dc876f0426bc,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
16,1,4096,4096,0,0,20240,0.024828597,0.001,71dfabbfbd5ed2e7727aa45a76df752de27cda9fba11bec84f1332d19fdf1f90,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4097,8192,0,1,28988,0.026279634,0.001,d746ea38f48965fc9386d6279ab51c40a83ac0fc7e1c640894426304ec2e76cb,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,8192,8192,0,2,28972,0.025672896,0.002,087dda3a90f16df8e77e27086e374d523e0e45af1533eefe0a775ad48f5d2897,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,16384,16384,0,3,45400,0.029954387,0.002,57d320ae962b1c255b3db89e6834c46789eeaa38057855b253851dc24b08bb09,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,65536,65536,0,4,143632,0.050822444,0.001,2f7ff7f57973641690257c9560848383b5949003b9a0880d6f3dfd3945099d93,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4097,8192,1,0,29012,0.027095089,0.001,950c80262e9ce4a43bc2151730ae2ef4d958ac9be2046029667ec2e9625c1d44,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,8192,8192,1,1,29020,0.025894835,0.001,0adc202d495aced3a899cd1366fb29a02faa320631fa900b0a7880ef98ec2386,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,16384,16384,1,2,45380,0.039586986,0.001,c67601b430d292e9fdf01abb286992d018739a01e9f3bfa43b5c6a746d18b188,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,65536,65536,1,3,143732,0.057305672,0.001,2f7ff7f57973641690257c9560848383b5949003b9a0880d6f3dfd3945099d93,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4096,4096,1,4,20864,0.03188282,0.001,71dfabbfbd5ed2e7727aa45a76df752de27cda9fba11bec84f1332d19fdf1f90,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,8192,8192,2,0,29016,0.0333008,0.001,4eb527d9a23d3567debdcad8a2aa500d68ef571b641ec1cea3697843276db0a9,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,16384,16384,2,1,45460,0.035979612,0.001,2b05c8db8895896755b9f9c2faa7deb87a231f02165eaa950e993a0a4f61271b,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,65536,65536,2,2,143704,0.051779544,0.002,56da61bc2c59b407e4f406ba6a185ecfadb28aabbedbf77829b8b94dc945590b,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4096,4096,2,3,20224,0.0248092,0.001,71dfabbfbd5ed2e7727aa45a76df752de27cda9fba11bec84f1332d19fdf1f90,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4097,8192,2,4,28960,0.038690106,0.002,7cad701a26daa8721c4d22025fee307c83d6a2ff5b73f9b6e666647ff782ed63,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,16384,16384,3,0,45376,0.03762752,0.001,c67601b430d292e9fdf01abb286992d018739a01e9f3bfa43b5c6a746d18b188,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,65536,65536,3,1,143640,0.051479752,0.001,2f7ff7f57973641690257c9560848383b5949003b9a0880d6f3dfd3945099d93,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4096,4096,3,2,20280,0.035138964,0.002,e3558ce9b2a4e2fea6fa0bdab4c0de3c982d643ed5ec026df805ceb241c67bf9,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4097,8192,3,3,29108,0.026727353,0.001,950c80262e9ce4a43bc2151730ae2ef4d958ac9be2046029667ec2e9625c1d44,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,8192,8192,3,4,29056,0.039780081,0.002,0d5b257aae1d2370c059a4c37eb73b41135106f56ca49b3d3a3da70fe13c0507,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,65536,65536,4,0,143776,0.051382362,0.001,2f7ff7f57973641690257c9560848383b5949003b9a0880d6f3dfd3945099d93,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4096,4096,4,1,20240,0.02484243,0.001,422a60354ebc03e4280ffe66180cf37bbfc0b57a654435742190f7718a9ffc4e,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,4097,8192,4,2,29048,0.026623397,0.001,fca8a2c6e71304c8e6ac2004d247c7f88348a8c866d01d9966519744af5b25d8,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,8192,8192,4,3,28912,0.032416362,0.001,bc9d2ebcb66db331775a0351991fb18145311bde12535884553136c1ce1ae750,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,1,16384,16384,4,4,45428,0.029271289,0.002,b45300db770d5ef33076e05b7cb92d8d68e6d15c641184c2707fce67eca05b63,87017bc89429c9b5fd3b8d6e4436a046e58988c6d198eca8ac4c4ffe7714a0d6
16,64,4096,4096,0,0,20708,0.329680882,0.071,37b590e31a46661bd0eab62677116dbe0001bbf8f56f295715e5dacae133e12e,ce6dae3554d1ec34f639862c44fd1398435aa8791ede3797e1397a90e2ae3b31
