case,async,pair,order,arm,repeats,work_sha256,repeat,wall_seconds,cpu_seconds,coordinator_seconds,stdout_sha256
single,False,3,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068446404,0.06799900000000005,0.014,a7a1ec8a060dbf98078ccdead3489682680b2b27754634ee607744fef629e139
single,False,3,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068741815,0.06832299999999993,0.014,e927ffc8e54003b51d6e7dbcda8dcac7fe218ba260e97ee8e5ef03a73b795411
single,False,3,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.070210929,0.06982800000000003,0.015,a05bf86a427b6af43e87e6acb5496a825398a2dc0e5f6288b0c9e55d2bb16c28
single,False,3,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.068405197,0.06792799999999993,0.014,5a706eaa06b8896f07f5f9a0b6ecbd8672ff41c75aaf782655978f25dd3a596e
single,False,3,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.068392504,0.06795499999999992,0.014,166559d83c62900ce051fa299249719fcf6c35515d8607d2ea4dcc735fc3f30f
single,False,3,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.067067026,0.06665900000000004,0.014,5a706eaa06b8896f07f5f9a0b6ecbd8672ff41c75aaf782655978f25dd3a596e
single,False,4,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068556699,0.06814899999999995,0.015,7cfeaf134809bcc13c714923c96c6647425b0053c3ae81222ac49b93a2916bc5
single,False,4,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.069233269,0.06883800000000005,0.015,cabe221e8e6048396f9eb87fa008e072b44ca5f5bcf0542e0dc1a0f922cedfc8
single,False,4,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.068507478,0.06810299999999987,0.014,a7a1ec8a060dbf98078ccdead3489682680b2b27754634ee607744fef629e139
single,False,4,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.068171723,0.06767199999999977,0.014,a7a1ec8a060dbf98078ccdead3489682680b2b27754634ee607744fef629e139
