phase,index,arm,size,steps,milliseconds,stdout_sha256
calibration,3,ring,16,262144,14,279764f5054b14e1cca693bd7868adf0f51bcaa2701b15546867aa2734a13cfc
calibration,4,list,16,524288,71,1030ee563d72ff4cf51e6e03d694c5a18c981ced41f53da899a0c3efc970803a
calibration,4,fifo,16,524288,23,c8a44c68c563efe8ff3d7e348ffb78c90497ad71a7030760e3ece39ff19ac0cd
calibration,4,ring,16,524288,28,f765e5712a9548bfde9c6c93f2a1fdaa3efe89913dfbe1e0cb05dd6dd277dfd1
calibration,5,list,16,1048576,179,9783a43282c5996db53f71092026989165f3f8a28b4d25ad6c75969a8dcb39c2
calibration,5,fifo,16,1048576,44,012401cafc8ef5aeef53a3bd54acbf9d12a5c1cd39431bfd187cb232556ca6d9
calibration,5,ring,16,1048576,64,057140b13040f19435efcd8b5b45e6625e322fd0f9d61bc119bed8e2edf03caa
calibration,6,list,16,2097152,402,0ff1209d92c2695acd71583b2303e12a1d2d596c349dbcdff22fc00ac8509934
calibration,6,fifo,16,2097152,90,46d5350846fca283305aa1e596a3b5d208fc544f2840c31226afda1a16ec93d1
calibration,6,ring,16,2097152,109,08b5cde2555b204425cf53be7dc62a1db35b2b60b138fa85fdfc19d4345eb121
calibration,7,list,16,4194304,640,7be8ccae76b2c92c80c70701b705c856cbc6eb322f1598330d83862fce97d4b7
calibration,7,fifo,16,4194304,183,216490d1475a689649dce45250fc501de372c74d6e2e2e2ac9d916235cdb6310
calibration,7,ring,16,4194304,302,696b44de807133231533871bbad702c8e394f0f76493f5d0124bccc75dde4d81
measurement,0,list,16,4194304,660,a0cefa6a7ad214a2b35c60fc985b5dc1118f73748c25c2b8a65668b8e805b096
measurement,0,fifo,16,4194304,186,4b0a7169b13c65aa23a654dce17b992a72905f8c390f42e484719c7da517eaa6
measurement,0,ring,16,4194304,328,e2d21c0d5c059abd2ebb0aadae3e881aefe09d973442a2a31ae4ad3b2e3b0785
measurement,1,list,16,4194304,673,69d0e88c209416cb5710e428911624a5c1b9b8272e201d5ea16e6e453752df14
measurement,1,ring,16,4194304,241,0a3f344166864e6590581863fc595577a931ad3cb9d063b0784704f8397b934c
measurement,1,fifo,16,4194304,276,0e0f0b5962d85b5d18ef19847ac5308551699b0eea772ad9183b3a6b6d4960bf
measurement,2,fifo,16,4194304,176,2bd1ce22ff0262c1151d1abcf9870e4acbaf91270a568f2c0e4a79ce428feb47
measurement,2,list,16,4194304,658,fc984afbfba8e249a2ec83e08c46a00683e18b1d8f088cb91b8f9f80f248f6ae
measurement,2,ring,16,4194304,315,6475ab0355a00b95840c7c026530a660de78653d24fa8c2b00bc20e1b56df695
measurement,3,fifo,16,4194304,184,a100a1c8fda861f78c02a0d46216cf453e037779aa52c6da9c76c1d6e34e8f75
measurement,3,ring,16,4194304,229,9e770346bcd6d8a30b29f17244361ca98595214f41bef676c0cd6592ac8af2fe
measurement,3,list,16,4194304,722,92d3c764a140b23d95c9f6ec6e00edeb7ddab901ded0ce289de64a179d287d16
measurement,4,ring,16,4194304,215,339fcd2e95e95e5d43f97e6554129f5521844ed13ab86a3ec3812254bb811c84
measurement,4,list,16,4194304,678,a73c783ae913ab942c66cb051d6edc9666e78c159212b015ba4f4e892394bc32
measurement,4,fifo,16,4194304,283,4558b8f958e54de85511eb70f14f508fd6a7b346dda7700bcd9dde065cbf97f4
measurement,5,ring,16,4194304,220,32bf5904f5b14beeb2ac3c14caac5411470a180a3b3d7075b2e3a6b1babf01ee
measurement,5,fifo,16,4194304,180,ddbf23eb89835bbe53059e00c3b93830d5097dee684a4068e4a8144f0c9d18d2
measurement,5,list,16,4194304,802,7e9a517662937de5c16ac14b17ebce410763aa4bed6711d1721a16288539f510
calibration,0,list,64,32768,16,9f6c04743dd1e5f1a403f8cb0b87f7012123ed05d86971fc6965fd97f2aabff1
calibration,0,fifo,64,32768,2,21da1cb7e20e0cf3e424fc4c17b86758bfec8742bde290f44201da5b3ff1c440
calibration,0,ring,64,32768,2,6e94ae6577628ab9c5a8aa9a7c86970086a3c55455926df1b9dbd40616a13c6d
calibration,1,list,64,65536,29,df6c7ea04da95794aa9675679a1b43d7ec017cda66429802ffa71f7609d77b95
calibration,1,fifo,64,65536,5,09211c68306dc4d8ee6bbb7b91ce1bbaf1f8bb5beff44b6896e0ceb5bffcdf6f
