case,async,pair,order,arm,repeats,work_sha256,repeat,process_seconds,coordinator_seconds,stdout_sha256
single,True,0,0,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.274178413,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,0,0,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.267737854,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,0,1,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.267120022,0.213,fefe4f47c8150edb9df701d4b4e1fa5b23a8f11e4c9e4c95c2a5269773fb19f8
single,True,0,1,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.269543492,0.216,c6431f63731a0d7f8d52e2b9b0c17668ad10aeec5c7a5fcaaa03534d1b46b7e0
single,True,1,0,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.271009087,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,1,0,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.276426584,0.216,c6431f63731a0d7f8d52e2b9b0c17668ad10aeec5c7a5fcaaa03534d1b46b7e0
single,True,1,1,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.268115435,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,1,1,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.281459094,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,2,0,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.276046024,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,2,0,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.278281645,0.216,c6431f63731a0d7f8d52e2b9b0c17668ad10aeec5c7a5fcaaa03534d1b46b7e0
single,True,2,1,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.277747198,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,2,1,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.277455907,0.213,fefe4f47c8150edb9df701d4b4e1fa5b23a8f11e4c9e4c95c2a5269773fb19f8
single,True,3,0,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.274768108,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,3,0,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.268065047,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,3,1,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.268496168,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,3,1,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.265419809,0.212,cc1080b0dbb4cb59a502eab31b5c00c45414380cafa6055b1a3c765e978a1cea
single,True,4,0,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.268145384,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,4,0,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.268252263,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,4,1,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.2693278,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,4,1,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.26964658,0.216,c6431f63731a0d7f8d52e2b9b0c17668ad10aeec5c7a5fcaaa03534d1b46b7e0
single,True,5,0,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.277088466,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,5,0,fifo,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.268457916,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,5,1,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.269722441,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,5,1,list,2,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.269345578,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
openings-16,False,0,0,list,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.925066467,0.207,55ce8e6a1e626e15e71480ca8cc05bca0d8a1c0b9e269ca8b6803dbc27b0fc64
openings-16,False,0,1,fifo,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.787816199,0.176,78217697523d2484cb89bbecd18b985b06a74f97b167cf4ab506a87fa642e5a3
openings-16,False,1,0,fifo,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.791619544,0.177,3d345e9f250caa1c47495600bf18f93b72d984add8024353298975ff7f13905a
openings-16,False,1,1,list,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.777473067,0.177,e401f20021a97b925fe48f95c4ed24025c912f593d8db719c7a726c13806a6cc
openings-16,False,2,0,list,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.775346098,0.176,a086506cb413e68a5aa50253bf934acc980b4e6fd18926ed7330adcbdaa12eba
openings-16,False,2,1,fifo,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.793464969,0.176,a0672d2238963fc2c21aa233dbddef394c1d74ca8136afdbadda2fe793b2ed41
openings-16,False,3,0,fifo,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.788563252,0.177,6b6a5c024464e4de79b4b1d145e2b746cc01262e5640a0a33bc4362199ca3f09
openings-16,False,3,1,list,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.774384654,0.176,f5d07b93370c7944b1dced8fe9d5aefb27ba1b9f45e042627237e8e0e0c2a67a
openings-16,False,4,0,list,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.77994995,0.177,dc6f7dfd8992ce70c1e257d265a178c163a5c6e1e0f24b32122ee934ea4e656a
openings-16,False,4,1,fifo,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.787132683,0.177,e0e4f0821c0a3f884d1074a79ddb4c2add09b01099e5a62b58f835a92cc9dcae
openings-16,False,5,0,fifo,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.848210418,0.18,8f1244767665d1181602b2d88b13815cb5d232904b40c5387a8ab9f21cffd683
openings-16,False,5,1,list,1,e9cdb3b5cb1c810e7485a1413a2dfcc0ae21215b1d9e57705339a22cfe30dc44,0,0.783157444,0.177,f73eb8e4626cffbd80dbe6bf2b06d4e7af3fc1f5e04f5670e12ee566f28e5aa3
openings-16,True,0,0,list,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.466248582,0.867,581afe09f1676c760baa9d57f10429529c3f5c79c5474becadac87de45b253f3
openings-16,True,0,1,fifo,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.481050039,0.867,581afe09f1676c760baa9d57f10429529c3f5c79c5474becadac87de45b253f3
openings-16,True,1,0,fifo,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.481491919,0.869,a1ad7e972563e00039f847c854c3186c3149e3626af42558c16b64ce9d922f93
openings-16,True,1,1,list,1,27757b99968fe0256d0d2218c91653ed0f5788366aeb356b2dfe44f10b9fe4d1,0,1.477918344,0.869,a1ad7e972563e00039f847c854c3186c3149e3626af42558c16b64ce9d922f93
