case,arm,rounds,phase,pair,order,mode,milliseconds,requests,moves,checksum,hits,fills,bypasses,peak_rss_kib,workload_sha256,input_sha256,stdout_sha256
warm-eight-large-arena,direct,3,contract,0,0,optimized,0,24,690,1017385041,0,0,24,2224,9c958f553c45695ea4a1e1bb6fceb1beb0a69cb59000e3b954b1740a4f930d60,bca4d9b4901b6176d978289d295c4631499fad0cbab34e486482caabfef775da,235219dabd92fb97ae16f9c3bca8ef54139d8e49ec8f6a10126356b3e4c38d04
warm-eight-large-arena,cached,1,diagnostic,0,0,optimized,0,8,230,536319571,8,0,0,7620,9c958f553c45695ea4a1e1bb6fceb1beb0a69cb59000e3b954b1740a4f930d60,76fd8f8b775660fd4dd381f1bb83091af3de9a308975b583bea8cfec8c96a805,a2e806d3846ec0c1f36c8cdd7283d6d6676bbf56006efe273b882eecfd0b029b
warm-eight-large-arena,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,7588,9c958f553c45695ea4a1e1bb6fceb1beb0a69cb59000e3b954b1740a4f930d60,31708a1241341a9328efa90bf5315a4700758e8caf1a2924d467a7320e9446a4,792a46eede3c18001518e3ea044abc8b6c35b58e9ef80c35859f15a8b4b2a6c0
warm-eight-large-arena,cached,3,contract,0,0,optimized,0,24,690,1017385041,24,0,0,7560,9c958f553c45695ea4a1e1bb6fceb1beb0a69cb59000e3b954b1740a4f930d60,d2946b7253fcc8b6027956962c15b26bf93fd73e387b3cbcdcbb7a864d34830a,a6bbf7a0ac83bd6373b66a2ac781144589fddd8e8620d594b7ea11bd34aa1281
warm-empty-move-list,direct,1,diagnostic,0,0,optimized,0,1,0,131072,0,0,1,2184,d288dcc704ab51f437c213ba6069aeba7da3d60473e39dd6a2908e1df8161f09,c6b4e6b444fab4cfefd6114f42f9828cbae7feb25a1ece50fed61eb184f02849,8a382d21a70ce5fa24819f486e4a32d2137da2a885f78db62970649b76ba45e1
warm-empty-move-list,direct,0,contract,0,0,optimized,0,0,0,0,0,0,0,2188,d288dcc704ab51f437c213ba6069aeba7da3d60473e39dd6a2908e1df8161f09,53e389bbb433ff7332c98e0b31da9209c45f967150c72fcb06de4e9cf84cf990,57f13ce9f87c4570a40752117f2e927bbffabfdba7c9647f5384a9eced9e327e
warm-empty-move-list,direct,3,contract,0,0,optimized,0,3,0,2238578688,0,0,3,2244,d288dcc704ab51f437c213ba6069aeba7da3d60473e39dd6a2908e1df8161f09,a27e206e0427ca053df679137dcf0be7deb548aa27510f384295b6831c23cdbf,353ba5024748fc5dfc2ab29c8a0307310764c90805b96f512ecee2ef69735ab7
warm-empty-move-list,cached,1,diagnostic,0,0,optimized,0,1,0,131072,1,0,0,2184,d288dcc704ab51f437c213ba6069aeba7da3d60473e39dd6a2908e1df8161f09,5bbcaaf2d6f432b42d48c86b26d3e18f3f02abac53f6f88599e4e7c3a3ddf70e,b645811ecc5080efea74dbe0e487fec7c1e3cf61e06b7a0b4b1fa97c86a71e2b
warm-empty-move-list,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,2224,d288dcc704ab51f437c213ba6069aeba7da3d60473e39dd6a2908e1df8161f09,21ad9ce265ed065e91444c3b866f0116a3216525bd6eca82f7c3a9f15c59a711,4b9d9c969a6250a699df8392b00b505cf48703ecfb904ed6bf8606aeced5d39e
warm-empty-move-list,cached,3,contract,0,0,optimized,0,3,0,2238578688,3,0,0,2260,d288dcc704ab51f437c213ba6069aeba7da3d60473e39dd6a2908e1df8161f09,50a4049e1b18d84273df7ca961b3e086898f2376a81c9f6efa5082dfc62233e6,3ba26fd2097cccd5557943386353f87a56aa6a5da4000273b10110848b7bca21
warm-0pct-hits,direct,1,diagnostic,0,0,ubsan,0,8,230,536319571,0,0,8,4408,fc6dddbaeaeea8ac283f8b2f6d566417015f823ca9b256701f3322315af94b9b,13d99b7511bc518faa58bd5044bfa7fa86f5319195b81d47046ea722b3a153d4,ae1c3ffc2cdeb515049219614e179d880e1cae3d312463b70b5f27cfaf7b38a8
warm-0pct-hits,direct,0,contract,0,0,ubsan,0,0,0,0,0,0,0,4416,fc6dddbaeaeea8ac283f8b2f6d566417015f823ca9b256701f3322315af94b9b,f1456de6142a9f30c3263a4bed3d14748b175d814ae3db2b78091209038e9a04,723630e2fb22dac2bf22ec8e8897e789770e1df58c399869e0f4172278464da3
