case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
chess-ep-hits,hash,0,contract,0,0,bmi2-popcnt,0,c55f56101f336876d9bdb2cea2aead8a0291ba07efe35b033efc405af8b49c93,e8301aadf98ef51327c6b9f1063bbbff8704bbaf7cb29afbf67f34643af250b1
chess-ep-hits,hash,1,contract,0,0,bmi2-popcnt,0,17c8bad657c9551fb7468fb5354515470cc14a65b9716911b36d94e9a2b09cf4,e175d4c2cadce76991ea5951ce167ae6a9384969801b0a7eba489a5a06031443
chess-ep-hits,hash,3,contract,0,0,bmi2-popcnt,1,0fd08bec97d1c443ff476308975d33809006a62afbea5c8ccabe86a1410f6d13,032561c2591c9e3ed4e2bf15714236751ae994e2cac259c26e35588ca6dca317
chess-ep-hits,scan,0,contract,0,0,bmi2-popcnt,1,c55f56101f336876d9bdb2cea2aead8a0291ba07efe35b033efc405af8b49c93,4d3ff47bb6aac67af980c595fafda434bcedfc3ed73743d37b5479bf07d84ec5
chess-ep-hits,scan,1,contract,0,0,bmi2-popcnt,0,17c8bad657c9551fb7468fb5354515470cc14a65b9716911b36d94e9a2b09cf4,0d1928680dad17957402c2c5ce70055801b33085d5a47bdbf0cc3797b5a40e0c
chess-ep-hits,scan,3,contract,0,0,bmi2-popcnt,1,0fd08bec97d1c443ff476308975d33809006a62afbea5c8ccabe86a1410f6d13,93ba9dc50c527aefcfbd72fa7b07964dbc231dfa2e28337572f24b3b69fb97ed
chess-ep-misses,hash,0,contract,0,0,bmi2-popcnt,0,131729adc68cdaf29ae80c1fd8d1321e00b4b0a0dd259453e2c0cdf99e8ca324,e8301aadf98ef51327c6b9f1063bbbff8704bbaf7cb29afbf67f34643af250b1
chess-ep-misses,hash,1,contract,0,0,bmi2-popcnt,0,fe16f7162ab67cd0d4f18ee02386ea708757855ddcc576dd9f7986b11883d45c,e107605eee4eedc1e7d6b6d521f02267047897307a41b876caf572128e6020c4
chess-ep-misses,hash,3,contract,0,0,bmi2-popcnt,0,7d71072ed99eaf34869af21b83d40b183be5b60172c2e2d7b657c82738ef7ee4,ea0cf4a32979aa982e43a03fd191c228b05a899ea7d2bab1b6c7c231894823f3
chess-ep-misses,scan,0,contract,0,0,bmi2-popcnt,0,131729adc68cdaf29ae80c1fd8d1321e00b4b0a0dd259453e2c0cdf99e8ca324,5fd61b5a1ac4223997a26c1a08ae2fc2cffac243c03cbdc0e32eca6661a79b84
chess-ep-misses,scan,1,contract,0,0,bmi2-popcnt,0,fe16f7162ab67cd0d4f18ee02386ea708757855ddcc576dd9f7986b11883d45c,aff7aa2b6e42f127a8b2265fc20c9136613362f2bcba0b101976e00f7fa01d07
chess-ep-misses,scan,3,contract,0,0,bmi2-popcnt,2,7d71072ed99eaf34869af21b83d40b183be5b60172c2e2d7b657c82738ef7ee4,66bee156571d2352830e9ed554ddcae93113cb43652b15f4584d73e5a9537abf
chess-ep-churn,hash,0,contract,0,0,bmi2-popcnt,0,564be7563f278faa6a575d7406d532113e1c836f157224270334a8e8e4238d23,e8301aadf98ef51327c6b9f1063bbbff8704bbaf7cb29afbf67f34643af250b1
chess-ep-churn,hash,1,contract,0,0,bmi2-popcnt,0,463b3674e24a86fc94d132cd0e758587b4598958261f73297b3ffe314722d033,d5cfa23f6fbb86e19d9d9a2e5f256d301a1a2d5bf25eb5f09de6eb694a2fb42d
chess-ep-churn,hash,3,contract,0,0,bmi2-popcnt,1,37786679b415650e80fff4f1d0ca427710fae0dfce466e409815b45df5945cec,bd33d552a43a01535d19b3f0cc0a65fbab0af303bc85429b9368b12c2334f1df
chess-ep-churn,scan,0,contract,0,0,bmi2-popcnt,0,564be7563f278faa6a575d7406d532113e1c836f157224270334a8e8e4238d23,5fd61b5a1ac4223997a26c1a08ae2fc2cffac243c03cbdc0e32eca6661a79b84
chess-ep-churn,scan,1,contract,0,0,bmi2-popcnt,1,463b3674e24a86fc94d132cd0e758587b4598958261f73297b3ffe314722d033,4ea40a8df7725e0b14ca5f5611dcb734a4210099f08c47f344e827725aab9473
chess-ep-churn,scan,3,contract,0,0,bmi2-popcnt,1,37786679b415650e80fff4f1d0ca427710fae0dfce466e409815b45df5945cec,cd31bb987e83ac977cba4a0e9718854c8df2b07bdfabc2bddc7aab635ca05fff
chess-promotion-hits,hash,0,contract,0,0,bmi2-popcnt,0,dfb9dd155aadf8ff74fe4eb9d0bfe742d22b870b818d908e1bc81e436925c5c9,785e1830a42299a98b370dba33cb760d639776e2d659fbbace81db9d1d0d7f03
chess-promotion-hits,hash,1,contract,0,0,bmi2-popcnt,0,e7b1db5e5f0f258ab271c77abc7d4bd96c94ab8b44e0fae449256ffddb95cecf,fb624888065dfa706906ea0f1e77288a5d69e033e32d20bb417b92410db689f6
chess-promotion-hits,hash,3,contract,0,0,bmi2-popcnt,0,7a88d9554c6e59cf3b9b972b4c2aeddf412655a352c4418259ef0483744db55b,2082e6276df5918576be9560724253b5a3afa9a28f2021567225a7e46da0a6c9
chess-promotion-hits,scan,0,contract,0,0,bmi2-popcnt,0,dfb9dd155aadf8ff74fe4eb9d0bfe742d22b870b818d908e1bc81e436925c5c9,46801ce63b85899660305dbbca9a615572c3aafa608e97e7154e2cf57e78b78f
chess-promotion-hits,scan,1,contract,0,0,bmi2-popcnt,0,e7b1db5e5f0f258ab271c77abc7d4bd96c94ab8b44e0fae449256ffddb95cecf,ca4acb8b3c0645cbf959fe86173cb0d18fcbe043bccc8c7c0828328b18929ea9
chess-promotion-hits,scan,3,contract,0,0,bmi2-popcnt,0,7a88d9554c6e59cf3b9b972b4c2aeddf412655a352c4418259ef0483744db55b,b6a8894f72646ea21ba32d7efa5c8aad28f150a260ff63efa542f1598c79ad3e
chess-promotion-misses,hash,0,contract,0,0,bmi2-popcnt,0,dee98a0710de55595974d0ec64747121862a29c206f87384c0b4b1ed78de4f98,785e1830a42299a98b370dba33cb760d639776e2d659fbbace81db9d1d0d7f03
